Symbol,Name,Market Cap,Country,IPO Year,Sector,Industry
SRFM,Surf Air Mobility Inc. Common Stock,90684168.0,,2023.0,Consumer Discretionary,Transportation Services
SRG,Seritage Growth Properties Class A Common Stock,430919944.0,United States,2015.0,Real Estate,Real Estate Investment Trusts
SRG^A,Seritage Growth Properties 7.00% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,,United States,,,
SRI,Stoneridge Inc. Common Stock,466219851.0,United States,1997.0,Consumer Discretionary,Auto Parts:O.E.M.
SRL,Scully Royalty Ltd.,65961981.0,Canada,,Consumer Discretionary,Professional Services
SRM,SRM Entertainment Inc. Common Stock,16159500.0,United States,2023.0,,
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),10538650348.0,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
SRRK,Scholar Rock Holding Corporation Common Stock,413307927.0,United States,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SRT,StarTek Inc. Common Stock,172894761.0,United States,1997.0,Consumer Discretionary,Professional Services
SRTS,Sensus Healthcare Inc. Common Stock,39422354.0,United States,2016.0,Health Care,Medical/Dental Instruments
SRV,NXG Cushing Midstream Energy Fund Common Shares of Beneficial Interest,0.0,United States,,Finance,Finance Companies
SRZN,Surrozen Inc. Common Stock,15287725.0,United States,,Health Care, Medicinal Chemicals and Botanical Products 
SRZNW,Surrozen Inc. Warrant,183453.0,United States,,Health Care, Medicinal Chemicals and Botanical Products 
SSB,SouthState Corporation Common Stock,5204924435.0,United States,,Finance,Major Banks
SSBI,Summit State Bank Common Stock,99429637.0,United States,2006.0,Finance,Major Banks
SSBK,Southern States Bancshares Inc. Common Stock,197858394.0,United States,2021.0,Finance,Commercial Banks
SSD,Simpson Manufacturing Company Inc. Common Stock,5755287010.0,United States,,Consumer Discretionary,Industrial Machinery/Components
SSIC,Silver Spike Investment Corp. Common Stock,57858596.0,United States,2022.0,Health Care, Medicinal Chemicals and Botanical Products 
SSKN,Strata Skin Sciences Inc. Common Stock,19551776.0,United States,2005.0,Health Care,Medical/Dental Instruments
SSL,Sasol Ltd. American Depositary Shares,8616979381.0,South Africa,,Energy,Oil & Gas Production
SSNC,SS&C Technologies Holdings Inc. Common Stock,12595447357.0,United States,2010.0,Technology,Computer Software: Prepackaged Software
SSNT,SilverSun Technologies Inc. Common Stock,17082575.0,United States,,Technology,EDP Services
SSP,E.W. Scripps Company (The) Class A Common Stock,521654577.0,United States,,Industrials,Broadcasting
SSRM,SSR Mining Inc. Common Stock,2862348840.0,Canada,,,
SSSS,SuRo Capital Corp. Common Stock,105246884.0,United States,2011.0,Finance,Finance: Consumer Services
SSSSL,SuRo Capital Corp. 6.00% Notes due 2026,593058244.0,United States,,Finance,Finance: Consumer Services
SST,System1 Inc. Class A Common Stock,141597126.0,United States,2020.0,Consumer Discretionary,Diversified Commercial Services
SSTI,SoundThinking Inc. Common Stock,188637446.0,United States,2017.0,Technology,Computer Software: Prepackaged Software
SSTK,Shutterstock Inc. Common Stock,1322826269.0,United States,2012.0,Technology,EDP Services
SSY,SunLink Health Systems Inc. Common Stock,5168228.0,United States,1996.0,Health Care,Hospital/Nursing Management
SSYS,Stratasys Ltd. Ordinary Shares (Israel),790272114.0,United States,1994.0,Technology,Computer peripheral equipment
ST,Sensata Technologies Holding plc Ordinary Shares,5540555694.0,Netherlands,2010.0,Industrials,Industrial Machinery/Components
STAA,STAAR Surgical Company Common Stock,2054940424.0,United States,,Health Care,Ophthalmic Goods
STAF,Staffing 360 Solutions Inc. Common Stock (DE),3881507.0,United States,,Consumer Discretionary,Professional Services
STAG,Stag Industrial Inc. Common Stock,5939702386.0,United States,2011.0,Real Estate,Real Estate Investment Trusts
STBA,S&T Bancorp Inc. Common Stock,999261317.0,United States,,Finance,Major Banks
STBX,Starbox Group Holdings Ltd. Ordinary Shares,56122570.0,Malaysia,2022.0,Consumer Discretionary,Advertising
STC,Stewart Information Services Corporation Common Stock,1137883829.0,United States,,Finance,Specialty Insurers
STCN,Steel Connect Inc. Common Stock,626234498.0,United States,,Consumer Discretionary,Advertising
STE,STERIS plc (Ireland) Ordinary Shares,21588182374.0,United States,,Health Care,Industrial Specialties
STEL,Stellar Bancorp Inc. Common Stock,1169316332.0,United States,,Finance,Major Banks
STEM,Stem Inc. Class A Common Stock,585848226.0,United States,2020.0,Technology,Computer Software: Prepackaged Software
STEP,StepStone Group Inc. Class A Common Stock,3171672998.0,United States,2020.0,Finance,Finance/Investors Services
STER,Sterling Check Corp. Common Stock,1224365663.0,United States,2021.0,Technology,Computer Software: Prepackaged Software
STEW,SRH Total Return Fund Inc. Common Stock,0.0,United States,,Finance,Investment Managers
STG,Sunlands Technology Group American Depositary Shares representing Class A ordinary shares,83117280.0,,2018.0,Real Estate,Other Consumer Services
STGW,Stagwell Inc. Class A Common Stock,1112614286.0,Canada,,Consumer Discretionary,Advertising
STHO,Star Holdings Shares of Beneficial Interest,155572367.0,United States,,Real Estate,Real Estate
STIM,Neuronetics Inc. Common Stock,32049461.0,United States,2018.0,Health Care,Medical/Dental Instruments
STIX,Semantix Inc. Class A Ordinary Shares,143376065.0,United States,,Technology,EDP Services
STIXW,Semantix Inc. Warrant,889920.0,United States,,Technology,EDP Services
STK,Columbia Seligman Premium Technology Growth Fund Inc,0.0,United States,2009.0,Finance,Investment Managers
STKH,Steakholder Foods Ltd. American Depositary Shares,10749557.0,Israel,2021.0,Consumer Staples,Packaged Foods
