Symbol,Average Return,Risk,Return-to-Risk
PANW,0.027739109441950884,0.1074789118754105,0.25808885629681516
FIX,0.026506262481912877,0.10306164996400262,0.257188415779982
SMCI,0.04979402991014257,0.1965786393621689,0.2533033602822124
TFII,0.028611010046462576,0.11298548042947876,0.25322731679952876
GMGI,0.08394921247724631,0.3328300932740494,0.2522284317846321
AMD,0.04210961514115239,0.16703162422464973,0.252105643686473
MCK,0.01712935902253264,0.06800517732211657,0.25188316091577706
GNE,0.03266211465541706,0.13032936302838719,0.2506120945922439
SCWO,0.09359246725626864,0.3738309329312652,0.2503604143252563
ETN,0.026448177656917878,0.1056721760484671,0.250285161581108
MMC,0.014575068682435341,0.05868570533869261,0.2483580728614966
CWST,0.018391986179261723,0.07434590000669565,0.24738400069950495
HROW,0.04662440239282724,0.18862041099454643,0.24718641077595407
LPG,0.028957391009456036,0.11718636396071827,0.2471054654376235
MOH,0.022830988079736696,0.09241171054979293,0.24705730414366683
RS,0.019854090545774368,0.080456119732974,0.24676917817647875
XENE,0.04941804734608255,0.20032737479656368,0.24668644211140656
LIN,0.015364475695252108,0.062479324420882956,0.24591296141026645
STRL,0.0324403482563254,0.13205227190073202,0.2456629317268533
WMS,0.02931097854183609,0.11948906309464094,0.24530260580100474
SAIA,0.02965433771944346,0.12135353375990014,0.2443631989993388
FRO,0.036301697532064525,0.14866877564740266,0.2441783580579231
CROX,0.04081461171834092,0.16740621180113036,0.24380583778352563
CRVL,0.02357515331731372,0.0968030391764682,0.24353732607854517
WINA,0.02065145171497431,0.08511661099673705,0.24262539912175293
INTU,0.0189479007198618,0.07835016642126334,0.24183612601388876
AXSM,0.0936100983559367,0.3887202917031897,0.24081608383699554
CTAS,0.020150466151311372,0.08384125044164381,0.2403407158787158
TSLA,0.05135635870730131,0.21447105005406814,0.23945590183082696
HGBL,0.04394210313328389,0.18361952417502164,0.23931062522196359
DXCM,0.03611815502388557,0.15162379724998004,0.23820901256244145
CCJ,0.02696527564808399,0.11375058981787586,0.23705613914844428
SGEN,0.026511411391481266,0.1119079662618836,0.23690370111310996
APPF,0.028185927646829614,0.11929854212803752,0.23626380628003804
BLDR,0.03409379359629209,0.1443099407641148,0.23625395046084108
AEHR,0.06650094011384919,0.28289231107199914,0.23507510636061077
TTEK,0.019717108863340226,0.0839047771869142,0.23499387668256996
DELL,0.021591675373034358,0.09202807587125182,0.23462052388492097
WRB,0.014245701808454551,0.060750463133899146,0.23449536141075703
COOP,0.03437284155797648,0.1468543350994464,0.2340607891125582
BMI,0.019227780800252833,0.08218766902997984,0.2339497034918834
PERI,0.04809350860214741,0.20563416688547487,0.23387897707160907
FSS,0.019272945078931354,0.0825523217508654,0.23346339230888216
