Company,Symbol,Country,Exchange,Sector,Market Cap
Lonza Group AG,LONN,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.24.8bn
Loomis AB - Class B Shares,LOOMIS,🇸🇪,Stockholm Stock Exchange,General Industrials,kr23.7bn
L'Oreal,OR,🇫🇷,Euronext Paris,Personal Goods,€203.8bn
LPP SA,LPP,🇵🇱,Warsaw Stock Exchange,Retailers,zł23.7bn
Lvmh Moet Hennessy Vuitton SE,MC,🇫🇷,Euronext Paris,Leisure Goods,€333.4bn
Man Group Limited,EMG,🇬🇧,London Stock Exchange,Hedge Funds,£2.6bn
Mapfre Sociedad Anonima,MAP,🇪🇸,Madrid Stock Exchange,Life Insurance,€6.0bn
Marks & Spencer Group,MKS,🇬🇧,London Stock Exchange,Retailers,£4.2bn
Mediobanca - Banca Di Credito Finanziario Spa,MB,🇮🇹,Italian Stock Exchange,Banks,€9.4bn
Meggitt plc,MGGT,🇬🇧,London Stock Exchange,Aerospace & Defence,£6.3bn
Melrose Industries Plc.,MRO,🇬🇧,London Stock Exchange,Industrial Engineering,£6.1bn
Mercedes-Benz Group AG,MBG,🇩🇪,Frankfurt Stock Exchange,Automobiles & Parts,€66.5bn
Merck KGAA,MRK,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€19.3bn
Merlin Properties SOCIMI S.A,MRL,🇪🇸,Madrid Stock Exchange,Property,€3.6bn
Metro AG,B4B,🇩🇪,Frankfurt Stock Exchange,Food and Drug Retailers,€2.3bn
Michelin,ML,🇫🇷,Euronext Paris,Automobiles & Parts,€19.8bn
Moncler SPA,MONC,🇮🇹,Italian Stock Exchange,Personal Goods,€14.4bn
Mondi,MNDI,🇬🇧,London Stock Exchange,Forestry & Paper,£6.1bn
Morphosys AG,MOR,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€877mn
Mowi ASA,MOWI,🇳🇴,Oslo Stock Exchange,Food Producers,kr91.1bn
MTU Aero Engines AG,MTX,🇩🇪,Frankfurt Stock Exchange,Aerospace & Defence,€8.8bn
Muenchener Rueckversicherungs-Gesellschaft AG,MUV2,🇩🇪,Frankfurt Stock Exchange,Nonlife Insurance,€50.4bn
National Grid Plc,NG.,🇬🇧,London Stock Exchange,Electricity,£35.6bn
Natixis SA,KN,🇫🇷,Euronext Paris,Banks,€12.6bn
Naturgy Energy Group S.A.,NTGY,🇪🇸,Madrid Stock Exchange,Oil & Gas Producers,€25.4bn
NatWest Group Plc,NWG,🇬🇧,London Stock Exchange,Banks,£19.4bn
Neles Corporation,NELES,🇫🇮,Helsinki Stock Exchange,General Industrials,€1.4bn
Nemetschek SE,NEM,🇩🇪,Frankfurt Stock Exchange,Software & Computer Services,€7.2bn
Neste OYJ,NESTE,🇫🇮,Helsinki Stock Exchange,Oil & Gas Producers,€22.5bn
Nestle SA,NESN,🇨🇭,SIX Swiss Exchange,Food Producers,Fr.262.9bn
Next plc.,NXT,🇬🇧,London Stock Exchange,Retailers,£8.7bn
Nibe Industrier AB - Class B Shares,NIBE B,🇸🇪,Stockholm Stock Exchange,Construction & Materials,kr114.9bn
NN Group NV,NN,🇳🇱,Euronext Amsterdam,Nonlife Insurance,€8.3bn
Nokia Corp,NOKIA,🇫🇮,Helsinki Stock Exchange,Mobile Telecommunications,€17.0bn
Nokian Renkaat Oyj,TYRES,🇫🇮,Helsinki Stock Exchange,Automobiles & Parts,€1.1bn
Nordea Bank Abp,NDA FI,🇫🇮,Helsinki Stock Exchange,Banks,€36.6bn
Norsk Hydro,NHY,🇳🇴,Oslo Stock Exchange,Alternative Energy,kr118.4bn
Novartis AG - Ordinary Shares (Registered),NOVN,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.193.1bn
Novo Nordisk - Class B Shares,NOVO B,🇩🇰,Copenhagen Stock Exchange,Pharmaceuticals & Biotechnology,kr.2328.0bn
Novozymes AS - Class B Shares,NZYM B,🇩🇰,Copenhagen Stock Exchange,Pharmaceuticals & Biotechnology,kr.64.2bn
Ocado Group Plc,OCDO,🇬🇧,London Stock Exchange,Food and Drug Retailers,£4.0bn
"OC Oerlikon Corporation AG, Pfaffikon",OERL,🇨🇭,SIX Swiss Exchange,Technology Hardware & Equipment,Fr.1.2bn
Old Mutual Limited,OMU,🇿🇦,Johannesburg Stock Exchange,Life Insurance,R56.5bn
OMV AG,OMV,🇦🇹,Vienna Stock Exchange,Oil & Gas Producers,€13.8bn
Orange.,ORA,🇫🇷,Euronext Paris,Telecomms,€28.8bn
Orion Corporation - Class B Shares,ORNBV,🇫🇮,Helsinki Stock Exchange,Food Producers,€4.0bn
Orkla,ORK,🇳🇴,Oslo Stock Exchange,Conglomerates,kr80.4bn
Orlen S.A.,PKN,🇵🇱,Warsaw Stock Exchange,Oil & Gas Producers,zł28.0bn
Orpea,ORP,🇫🇷,Euronext Paris,Health Care Equipment & Services,€78mn
Orron Energy AB - Class A Shares,ORRON,🇸🇪,Stockholm Stock Exchange,Oil & Gas Producers,kr2.0bn
Orsted A/S,ORSTED,🇩🇰,Copenhagen Stock Exchange,Energy,kr.136.8bn
Pandora A/S,PNDORA,🇩🇰,Copenhagen Stock Exchange,Personal Goods,kr.70.8bn
Partners Group Holding,PGHN,🇨🇭,SIX Swiss Exchange,Financial Services,Fr.25.4bn
Pearson plc,PSON,🇬🇧,London Stock Exchange,Media,£6.3bn
Pennon Group,PNN,🇬🇧,London Stock Exchange,"Gas, Water & Multiutilities",£1.8bn
Pernod Ricard,RI,🇫🇷,Euronext Paris,Beverages,€42.4bn
Persimmon plc,PSN,🇬🇧,London Stock Exchange,Home Construction,£3.1bn
Phoenix Group Holdings Plc,PHNX,🇬🇧,London Stock Exchange,Life Insurance,£4.5bn
Pirelli & C. S.p.A.,PIRC,🇮🇹,Italian Stock Exchange,Automobiles & Parts,€4.3bn
Polish Oil & Gas,PGN,🇵🇱,Warsaw Stock Exchange,Oil & Gas Producers,zł29.7bn
Polymetal International Plc,POLY,🇬🇧,London Stock Exchange,Mining,£913mn
Porsche Automobil Holding SE - PRF PERPETUAL EUR 1,PAH3,🇩🇪,Frankfurt Stock Exchange,Automobiles & Parts,€6.8bn
Poste Italiane S.p.a,PST,🇮🇹,Italian Stock Exchange,Industrial Transportation,€12.0bn
Powszechna Kasa Oszczednosci Bank Polski SA,PKO,🇵🇱,Warsaw Stock Exchange,Banks,zł50.0bn
Powszechny Zaklad Ubezpieczen SA,PZU,🇵🇱,Warsaw Stock Exchange,Nonlife Insurance,zł38.3bn
Prosiebensati Media SE,PSM,🇩🇪,Frankfurt Stock Exchange,Media,€1.3bn
Proximus,PROX,🇧🇪,Euronext Brussels,Telecomms,€2.7bn
Prudential plc,PRU,🇬🇧,London Stock Exchange,Life Insurance,£22.9bn
Prysmian S.p.A,PRY,🇮🇹,Italian Stock Exchange,Technology Hardware & Equipment,€9.5bn
PSP Swiss Property AG,PSPN,🇨🇭,SIX Swiss Exchange,Real Estate,Fr.4.9bn
Publicis Groupe SA,PUB,🇫🇷,Euronext Paris,Media,€18.3bn
Puma SE,PUM,🇩🇪,Frankfurt Stock Exchange,Personal Goods,€7.6bn
Qiagen NV,QGEN,🇺🇸,New York Stock Exchange,Pharmaceuticals & Biotechnology,$8.6bn
Quilter Plc,QLT,🇬🇧,London Stock Exchange,Financial Services,£1.1bn
Raiffeisen Bank International AG,RBI,🇦🇹,Vienna Stock Exchange,Banks,€4.3bn
Randstad NV,RAND,🇳🇱,Euronext Amsterdam,Support Services,€8.8bn
Reckitt Benckiser Group Plc,RKT,🇬🇧,London Stock Exchange,Household Goods,£42.6bn
Recordati SpA,REC,🇮🇹,Italian Stock Exchange,Pharmaceuticals & Biotechnology,€9.2bn
Redeia Corporacion S.A.,RED,🇪🇸,Madrid Stock Exchange,Electricity,€8.1bn
RELX Plc,REL,🇬🇧,London Stock Exchange,Media,£53.5bn
Remy Cointreau SA,RCO,🇫🇷,Euronext Paris,Beverages,€6.1bn
Renault S.A.,RNO,🇫🇷,Euronext Paris,Automobiles & Parts,€9.8bn
